Scenario,Mean_rate,SD,Lower_95,Upper_95,Min,Max
Baseline,0.314121533187909,0.008138088128141171,0.298652228108445,0.3303209722655033,0.29136802742287315,0.33468370208787784
10% speed reduction,0.30323963851667185,0.008019736261764901,0.2885634153942038,0.32082424431287004,0.274851978809598,0.3265814895606108
20% speed reduction,0.2913187909005921,0.007720952657536083,0.27609847304456214,0.305243066375818,0.2679962605172951,0.312870052976005
30% speed reduction,0.28020193206606414,0.0075013602419636855,0.2659629167965098,0.29527111249610466,0.2602056715487691,0.30102835774384545
20% 3W share,0.29588469928326583,0.007840215511469021,0.27936272982237453,0.3116235587410408,0.27516360236833903,0.3200373948270489
20% 3W + 20% speed reduction,0.2735930196322842,0.007739967718896113,0.259582424431287,0.2893502648800249,0.24462449361171704,0.2969772514802119
